	Code	Name	Type	Formula	PubChem	IUPAC	Smiles	Weight	Clusters	Symbol	Source	Essential amino acids	Error
138	C12:1(5)	2-methyl-5-dodecenoic acid	FAS	C12H22O2	151007	dodec-5-enoic acid	CCCCCCC=CCCCC(=O)O	198.30188	"['FA*', 'FA']"		Norine		
139	C13:0-NH2(3)	3-amino-tridecanoic acid	FAS	C13H27NO2			CCCCCCCCCCC(N)CC(O)=O	229.35898	"['FA*', 'FA']"		Norine		
140	C14:0	tetradecanoic acid	FAS	C14H28O2	11005	tetradecanoic acid	CCCCCCCCCCCCCC(=O)O	228.37093	"['FA*', 'FA']"		Norine		
141	C14:0-NH2(3)	3-amino-tetradecanoic acid	FAS	C14H29NO2	15677578	3-aminotetradecanoic acid	CCCCCCCCCCCC(N)CC(=O)O	243.38556	"['FA*', 'FA']"		Norine		
142	C14:1(7)	7-tetradecenoic acid	FAS	C14H26O2			CCCCCCC=CCCCCCC(O)=O	226.35504	"['FA*', 'FA']"		Norine		
143	C15:0-NH2(3)	3-amino-pentadecanoic acid	FAS	C15H31NO2			CCCCCCCCCCCCC(N)CC(O)=O	257.41214	"['FA*', 'FA']"		Norine		
144	C16:0	hexadecanoic acid	FAS	C16H32O2	985	hexadecanoic acid	CCCCCCCCCCCCCCCC(=O)O	256.42407	"['FA*', 'FA']"		Norine		
145	C16:0-NH2(3)	3-amino-hexadecanoic acid	FAS	C16H33NO2	17880127	3-aminohexadecanoic acid	CCCCCCCCCCCCCC(N)CC(=O)O	271.43872	"['FA*', 'FA']"		Norine		
146	C16:1(7)	7-hexadecenoic acid	FAS	C16H30O2			CCCCCCCCC=CCCCCCC(=O)O	254.4082	"['FA*', 'FA']"		Norine		
147	C16:1(9)	9-hexadecenoic acid	FAS	C16H30O2	5282745	(E)-hexadec-9-enoic acid	CCCCCCC=CCCCCCCCC(=O)O	254.4082	"['FA*', 'FA']"		Norine		
148	C18:1(9)	9-octadecenoic acid	FAS	C18H34O2	965	octadec-9-enoic acid	CCCCCCCCC=CCCCCCCCC(=O)O	282.46136	"['FA*', 'FA']"		Norine		
149	C4:0	butanoic acid	unknown	C4H8O2	264	butanoic acid	CCCC(=O)O	88.105125	"['FA*', 'FA']"		Norine		
150	C4:0-OH(2.3.4)	"2,3,4-trihydroxy-butanoic acid"	unknown	C4H8O5	439535	"2,3,4-trihydroxybutanoic acid"	OCC(O)C(O)C(=O)O	136.10332	"['FA*', 'FA']"		Norine		
151	C6:0	hexanoic acid	FAS	C6H12O2	8892	hexanoic acid	CCCCCC(=O)O	116.15829	"['FA*', 'FA']"		Norine		
152	C6:0-OH(3.5)-NH2(4)	3.5-hydroxy-4-amino-hexadecanoic acid	unknown	C6H13NO4			CC(O)C(N)C(O)CC(O)=O	163.17172	"['FA*', 'FA']"		Norine		
153	C7:0	heptanoic acid	FAS	C7H14O2	8094	heptanoic acid	CCCCCCC(=O)O	130.18488	"['FA*', 'FA']"		Norine		
154	C8:0	octanoic acid	FAS	C8H16O2	379	octanoic acid	CCCCCCCC(=O)O	144.21144	"['FA*', 'FA']"		Norine		
155	C8:0:1(7)	oct-7-ynoic acid	unknown	C8H12O2	5312700	oct-7-ynoic acid	C#CCCCCCC(=O)O	140.17967	"['FA*', 'FA']"		Norine		
156	aC10:0	7-methylnonanoic acid	FAS	C10H20O2	5312329	7-methylnonanoic acid	CCC(C)CCCCCC(=O)O	172.2646	"['FA*', 'FA']"		Norine		
157	aC11:0	8-methyldecanoic acid	FAS	C11H22O2	21813	8-methyldecanoic acid	CCC(C)CCCCCCC(=O)O	186.29118	"['FA*', 'FA']"		Norine		
158	C8:2(2.t4)	"2,trans4-octenoic acid"	FAS	C8H12O2			CCCC=CC=CC(=O)O	140.17967	"['FA*', 'FA']"		Norine		
159	C9:0	nonanoic acid	FAS	C9H18O2	8158	nonanoic acid	CCCCCCCCC(=O)O	158.238	"['FA*', 'FA']"		Norine		
160	C9:1(4)-Me(2.4.6)-OH(8)	"8-hydroxy-2,4,6-trimethyl-4-nonenoic acid"	unknown	C12H22O3			CC(O)CC(C)C=C(C)CC(C)C(O)=O	214.30128	"['FA-OH*', 'FA']"		Norine		
161	aC11:2(4.6)-Me(2.6)-OH(2.3)	"2,3-dihydroxy-2,6,8-trimethyldeca-(4Z,6E)-dienoic acid"	unknown	C13H22O4			CCC(C)C=C(C)C=CC(O)C(C)(O)C(O)=O	242.31139	"['FA-OH*', 'FA']"		Norine		
162	aC13:0-OH(3)	3-hydroxy-10-methyl-dodecanoic acid	FAS	C13H26O3			CCC(C)CCCCCCC(O)CC(O)=O	230.34373	"['FA-OH*', 'FA']"		Norine		
163	aC15:0-OH(3)	3-hydroxy-12-methyl-tetradecanoic acid	FAS	C15H30O3			CCC(C)CCCCCCCCC(O)CC(O)=O	258.3969	"['FA-OH*', 'FA']"		Norine		
164	aC17:0-OH(3)	3-hydroxy-14-methyl-hexadecanoic acid	FAS	C17H34O3			CCC(C)CCCCCCCCCCC(O)CC(O)=O	286.45007	"['FA-OH*', 'FA']"		Norine		
165	aC6:0-OH(2.3)	"2,3-dihydroxy-3-methylpentanoic acid"	FAS	C6H12O4	8	"2,3-dihydroxy-3-methylpentanoic acid"	CCC(C)(O)C(O)C(=O)O	148.15707	"['FA-OH*', 'FA']"		Norine		
166	aC9:0-OH(3)	3-hydroxy-6-methyloctanoic acid	FAS	C9H18O3	23176793	3-hydroxy-6-methyloctanoic acid	CCC(C)CCC(O)CC(=O)O	174.23743	"['FA-OH*', 'FA']"		Norine		
167	C10:0-OH(3)	3-hydroxy-decanoic acid	FAS	C10H20O3	26612	3-hydroxydecanoic acid	CCCCCCCC(O)CC(=O)O	188.26399	"['FA-OH*', 'FA']"		Norine		
168	C11:0-OH(3)	3-hydroxy-undecanoic acid	FAS	C11H22O3	3083221	3-hydroxyundecanoic acid	CCCCCCCCC(O)CC(=O)O	202.29059	"['FA-OH*', 'FA']"		Norine		
169	C11:2(t2.t8)-Me(2.6.8)-OH(5.7)	"2,6,8-trimethyl-5,7-dihydroxy-trans2,trans8-undecenoic acid"	unknown	C14H24O4			CCC=C(C)C(O)C(C)C(O)CC=C(C)C(O)=O	256.33798	"['FA-OH*', 'FA']"		Norine		
170	C12:0-OH(3)	3-hydroxy-dodecanoic acid	FAS	C12H24O3	94216	3-hydroxydodecanoic acid	CCCCCCCCCC(O)CC(=O)O	216.31717	"['FA-OH*', 'FA']"		Norine		
171	C12:1(5)-OH(3)	3-hydroxy-5-dodecenoic acid	FAS	C12H22O3			CCCCCCC=CCC(O)CC(O)=O	214.30128	"['FA-OH*', 'FA']"		Norine		
172	C13:0-OH(3)	3-hydroxy-tridecanoic acid	FAS	C13H26O3	5312749	3-hydroxytridecanoic acid	CCCCCCCCCCC(O)CC(=O)O	230.34373	"['FA-OH*', 'FA']"		Norine		
173	C13:2(t4.t6)-OH(2.3)	"2,3-dihydroxy-trans4,trans6-tridecenoic acid"	unknown	C13H22O4			CCCCCCC=CC=CC(O)C(O)C(O)=O	242.31139	"['FA-OH*', 'FA']"		Norine		
174	C14:0-OH(3)	3-hydroxy-tetradecanoic acid	FAS	C14H28O3	16064	3-hydroxytetradecanoic acid	CCCCCCCCCCCC(O)CC(=O)O	244.37033	"['FA-OH*', 'FA']"		Norine		
175	C14:0-OH(3.4)	"3,4-dihydroxy-tetradecanoic acid"	FAS	C14H28O4	22667431	"3,4-dihydroxytetradecanoic acid"	CCCCCCCCCCC(O)C(O)CC(=O)O	260.36975	"['FA-OH*', 'FA']"		Norine		
176	C14:2(t4.t6)-OH(2.3)	"2,3-dihydroxy-trans4,trans6-tetradecenoic acid"	unknown	C14H24O4			CCCCCCCC=CC=CC(O)C(O)C(O)=O	256.33798	"['FA-OH*', 'FA']"		Norine		
177	C15:0-OH(3)	3-hydroxy-pentadecanoic acid	FAS	C15H30O3	182089	3-hydroxypentadecanoic acid	CCCCCCCCCCCCC(O)CC(=O)O	258.3969	"['FA-OH*', 'FA']"		Norine		
178	C15:2(t4.t6)-OH(2.3)	"2,3-dihydroxy-trans4,trans6-pentadecenoic acid"	unknown	C15H26O4			CCCCCCCCC=CC=CC(O)C(O)C(O)=O	270.36456	"['FA-OH*', 'FA']"		Norine		
179	C16:0-OH(3)	3-hydroxy-hexadecanoic acid	FAS	C16H32O3	301590	3-hydroxyhexadecanoic acid	CCCCCCCCCCCCCC(O)CC(=O)O	272.4235	"['FA-OH*', 'FA']"		Norine		
180	C16:0-OH(3.4)	"3,4-dihydroxy-hexadecanoic acid"	FAS	C16H32O4	22348653	"3,4-dihydroxyhexadecanoic acid"	CCCCCCCCCCCCC(O)C(O)CC(=O)O	288.42288	"['FA-OH*', 'FA']"		Norine		
181	C16:1(9)-OH(3)	3-hydroxy-9-hexadecenoic acid	FAS	C16H30O3			CCCCCCC=CCCCCCC(O)CC(O)=O	270.4076	"['FA-OH*', 'FA']"		Norine		
182	C18:1(9)-OH(3)	3-hydroxy-9-octadecenoic acid	FAS	C18H34O3			CCCCCCCCC=CCCCCCC(O)CC(O)=O	298.46075	"['FA-OH*', 'FA']"		Norine		
183	C4:0-OH(2.3)	"2,3-dihydroxy-butanoic acid"	unknown	C4H8O4	250402	"2,3-dihydroxybutanoic acid"	CC(O)C(O)C(=O)O	120.10393	"['FA-OH*', 'FA']"		Norine		
184	C4:0-OH(3)	3-hydroxybutanoic acid	unknown	C4H8O3	441	3-hydroxybutanoic acid	CC(O)CC(=O)O	104.10452	"['FA-OH*', 'FA']"		Norine		
185	C4:1(3)-OH(2)	2-hydroxy-3-butenoic acid	unknown	C4H6O3	160534	2-hydroxybut-3-enoic acid	C=CC(O)C(=O)O	102.08864	"['FA-OH*', 'FA']"		Norine		
186	C5:1(4)-OH(2)	beta-vinyllactic acid		C5H8O3	172026	2-hydroxypent-4-enoic acid	C=CCC(O)C(=O)O	116.116	"['FA-OH*', 'FA']"		Norine		
187	C6:0-OH(3)	3-hydroxy-hexanoic acid	FAS	C6H12O3	151492	3-hydroxyhexanoic acid	CCCC(O)CC(=O)O	132.15768	"['FA-OH*', 'FA']"		Norine		
188	C7:0-OH(3)	3-hydroxy-heptanoic acid	unknown	C7H14O3	3083220	3-hydroxyheptanoic acid	CCCCC(O)CC(=O)O	146.18427	"['FA-OH*', 'FA']"		Norine		
189	C8:0-OH(3)	3-hydroxy-octanoic acid	FAS	C8H16O3	26613	3-hydroxyoctanoic acid	CCCCCC(O)CC(=O)O	160.21085	"['FA-OH*', 'FA']"		Norine		
190	C8:1(7)-Me(2.2)-OH(3)	"2,2-dimethyl-3-hydroxy-7-octenoic acid"	unknown	C10H18O3			C=CCCCC(O)C(C)(C)C(O)=O	186.24811	"['FA-OH*', 'FA']"		Norine		
191	C9:0-OH(3)	3-hydroxy-nonanoic acid	FAS	C9H18O3	36599	3-hydroxynonanoic acid	CCCCCCC(O)CC(=O)O	174.23743	"['FA-OH*', 'FA']"		Norine		
192	iC11:0-OH(3)	3-hydroxy-9-methyl-decanoic acid	FAS	C11H22O3	15089798	3-hydroxy-9-methyldecanoic acid	CC(C)CCCCCC(O)CC(=O)O	202.29059	"['FA-OH*', 'FA']"		Norine		
193	iC12:0-OH(3)	3-hydroxy-10-methyl-undecanoic acid	FAS	C12H24O3	15089799	3-hydroxy-10-methylundecanoic acid	CC(C)CCCCCCC(O)CC(=O)O	216.31717	"['FA-OH*', 'FA']"		Norine		
194	iC13:0-OH(3)	3-hydroxy-11-methyl-dodecanoic acid	FAS	C13H26O3	15089800	3-hydroxy-11-methyldodecanoic acid	CC(C)CCCCCCCC(O)CC(=O)O	230.34373	"['FA-OH*', 'FA']"		Norine		
195	iC14:0-OH(3)	3-hydroxy-12-methyl-tridecanoic acid	FAS	C14H28O3	22471995	3-hydroxy-12-methyltridecanoic acid	CC(C)CCCCCCCCC(O)CC(=O)O	244.37033	"['FA-OH*', 'FA']"		Norine		
196	iC15:0-OH(3)	3-hydroxy-13-methyl-tetradecanoic acid	FAS	C15H30O3	11043456	3-hydroxy-13-methyltetradecanoic acid	CC(C)CCCCCCCCCC(O)CC(=O)O	258.3969	"['FA-OH*', 'FA']"		Norine		
197	iC16:0-OH(3)	3-hydroxy-14-methyl-pentadecanoic acid	FAS	C16H32O3			CC(C)CCCCCCCCCCC(O)CC(O)=O	272.4235	"['FA-OH*', 'FA']"		Norine		
198	iC17:0-OH(3)	3-hydroxy-15-methyl-hexadecanoic acid	FAS	C17H34O3	161495	3-hydroxy-15-methylhexadecanoic acid	CC(C)CCCCCCCCCCCC(O)CC(=O)O	286.45007	"['FA-OH*', 'FA']"		Norine		
199	iC5:0-OH(2.3)	"2,3-dihydroxy-3-methyl-butanoic acid"	unknown	C5H10O4	677	"2,3-dihydroxy-3-methylbutanoic acid"	CC(C)(O)C(O)C(=O)O	134.13051	"['FA-OH*', 'FA']"		Norine		
200	iC5:0-OH(2.4)	"2,4-dihydroxy-3-methyl-butanoic acid"	unknown	C5H10O4			CC(CO)C(O)C(=O)O	134.13051	"['FA-OH*', 'FA']"		Norine		
201	iC6:0-OH(2.4)	"2,4-dihydroxy-4-methylpentanoic acid"		C6H12O4	55300467	"2,4-dihydroxy-4-methylpentanoic acid"	CC(C)(O)CC(O)C(=O)O	148.158	"['FA-OH*', 'FA']"		Norine		
202	iC9:0-OH(3)	3-hydroxy-7-methyl-octanoic acid	FAS	C9H18O3	22472006	3-hydroxy-7-methyloctanoic acid	CC(C)CCCC(O)CC(=O)O	174.23743	"['FA-OH*', 'FA']"		Norine		
203	C5:0-OH(2)-Ep(4)	2-hydroxy-3-(oxiran-2-yl)propanoic acid		C5H8O4	54305979	2-hydroxy-3-(oxiran-2-yl)propanoic acid	O=C(O)C(O)CC1CO1	132.115	"['FAD*', 'FA']"		Norine		
204	C9:1(Me4)-Me(2.4.6)-OH(8)-Oxo(5)	"5-oxo-8-hydroxy-2,4,6-trimethyl-4-nonaneic acid"	unknown	C12H20O4			CC(O)CC(C)C(=O)C(=C)CC(C)C(O)=O	228.2848	"['FAD*', 'FA']"		Norine		
205	C8:2(5.7)-Me(6)-OH(4)-NH2(3)-brPh(8)	"3-amino-4-hydroxy-6-methyl-8-(p-bromophenyl)-5,7-octadienoic acid"	unknown	C15H18BrNO3			CC(C=Cc1ccc(cc1)Br)=CC(O)C(N)CC(=O)O	340.2123	"['FAD*', 'FA']"		Norine		
206	C6:0-Ep(2)	2-epoxy-hexanoic acid	FAS	C6H10O3	13440533	3-propyloxirane-2-carboxylic acid	CCCC1OC1(C(=O)O)	130.1418	"['FAD*', 'FA']"		Norine		
207	C6:0-Me(2.2)-OH(3)	"2,2-dimethyl-3-hydroxyhexanoic acid"	unknown	C8H16O3			CCCC(O)C(C)(C)C(=O)O	160.21085	"['FAD*', 'FA']"		Norine		
208	C6:0-Me(2)-NH2(3)	2-methyl-3-aminohexadecanoic acid	unknown	C7H15NO2			CCCC(N)C(C)C(=O)O	145.19951	"['FAD*', 'FA']"		Norine		
209	C6:0-Me(5.5)-oxo(2)	"5,5-dimethyl-2-oxo-hexanoic acid"	unknown	C8H14O3	21197379	"5,5-dimethyl-2-oxohexanoic acid"	CC(C)(C)CCC(=O)C(=O)O	158.19496	"['FAD*', 'FA']"		Norine		
210	C10:0-Me(4)-OH(3)	3-hydroxy-4-methyl-decanoic acid	FAS	C11H22O3			CCCCCCC(C)C(O)CC(O)=O	202.29059	"['FAD*', 'FA']"		Norine		
211	C8:2(5.7)-Me(6)-OH(4)-NH2(3)-Ph(8)	"3-amino-4-hydroxy-6-methyl-8-phenyl-5,7-octadienoic acid"	unknown	C15H19NO3			CC(C=Cc1ccccc1)=CC(O)C(N)CC(=O)O	261.31625	"['FAD*', 'FA']"		Norine		
212	C6:0-OMe(3)	3-methoxy-hexanoic acid	unknown	C7H14O3	314154	3-methoxyhexanoic acid	CCCC(CC(=O)O)OC	146.18427	"['FAD*', 'FA']"		Norine		
213	C10:0-Me(2)-OH(3)	3-hydroxy-2-methyl-decanoic acid	unknown	C11H22O3	19591843	3-hydroxy-2-methyldecanoic acid	CCCCCCCC(O)C(C)C(=O)O	202.29059	"['FAD*', 'FA']"		Norine		
214	C10:0-Me(2.2.4)-OH(3)-OMe(7)	"3-hydroxy-2,2,4-trimethyl-7-methoxydecanoic acid"	unknown	C14H28O4			CCCC(CCC(C)C(O)C(C)(C)C(O)=O)OC	260.36975	"['FAD*', 'FA']"		Norine		
215	C7:0-Me(2)-OH(3)	3-hydroxy-2-methyl-heptanoic acid	unknown	C8H16O3			CCCCC(O)C(C)C(O)=O	160.21085	"['FAD*', 'FA']"		Norine		
216	C10:0-Me(2.4)-oxo(9)	"9-oxo-2,4-dimethyldecanoic acid"	unknown	C12H22O3			CC(=O)CCCCC(C)CC(C)C(=O)O	214.30128	"['FAD*', 'FA']"		Norine		
217	iC8:0-Me(2.4)-OH(3)	"2,4,6-trimethyl-3-hydroxy-heptanoic acid"	unknown	C10H20O3			CC(C)CC(C)C(O)C(C)C(=O)O	188.26399	"['FAD*', 'FA']"		Norine		
218	C9:0-Me(2)-OH(3)	3-hydroxy-2-methyl-nonanoic acid	unknown	C10H20O3	19591817	3-hydroxy-2-methylnonanoic acid	CCCCCCC(O)C(C)C(=O)O	188.26399	"['FAD*', 'FA']"		Norine		
219	C8:0:1(7)-Me(2)	2-methylact-7-ynoic acid	unknown	C9H14O2			C#CCCCCC(C)C(O)=O	154.20625	"['FAD*', 'FA']"		Norine		
220	C8:0:1(7)-Me(2.2)-OH(3)	"2,2-dimethyl-3-hydroxy-7-octynoic acid"	unknown	C10H16O3			C#CCCCC(O)C(C)(C)C(O)=O	184.23224	"['FAD*', 'FA']"		Norine		
221	C8:0:1(7)-Me(2)-NH2(3)	3-amino-2-methyloct-7-ynoic acid	unknown	C9H15NO2			C#CCCCC(N)C(C)C(=O)O	169.22089	"['FAD*', 'FA']"		Norine		
222	C8:0:1(7)-Me(2)-OH(3)	2-methyl-3-hydroxy-7-octynoic acid	unknown	C9H14O3			C#CCCCC(O)C(C)C(O)=O	170.20566	"['FAD*', 'FA']"		Norine		
223	C8:0-Me(2.2)-OH(3)	"2,2-dimethyl-3-hydroxy-octanoic acid"	unknown	C10H20O3			CCCCCC(O)C(C)(C)C(O)=O	188.26399	"['FAD*', 'FA']"		Norine		
224	C8:0-Me(4)-OH(3)	4-methyl-3-hydroxy-octanoic acid	FAS	C9H18O3	18408232	3-hydroxy-4-methyloctanoic acid	CCCCC(C)C(O)CC(=O)O	174.23743	"['FAD*', 'FA']"		Norine		
225	C10:0-Me(2.2.4)-OH(3.7)	"3-hydroxy-2,2,4-trimethyl-7-hydroxydecanoic acid"	unknown	C13H26O4			CCCC(O)CCC(C)C(O)C(C)(C)C(=O)O	246.34314	"['FAD*', 'FA']"		Norine		
226	C12:3(7.9.11)-Me(6)-OH(2.4.5)-NH2(3)-Ph(12)	"3-amino-6-methyl-12-phenyl-2,4,5-trihydroxydodeca-7,9,11-trienoic acid"	unknown	C19H25NO5			CC(C=CC=CC=Cc1ccccc1)C(O)C(O)C(N)C(O)C(O)=O	347.40552	"['FAD*', 'FA']"		Norine		
227	C10:0:1(9)-Me(2.4)	"2,4-dimethyl-dec-9-ynoic acid"	unknown	C12H20O2			C#CCCCCC(C)CC(C)C(=O)O	196.286	"['FAD*', 'FA']"		Norine		
228	C12:3(7.9.11)-Me(6.10)-OH(2.4.5)-NH2(3)-Ph(12)	"3-amino-6,10-dimethyl-12-phenyl-2,4,5-trihydroxydodeca-7,9,11-trienoic acid"	unknown	C20H27NO5			CC(=CC=CC(C)C(O)C(O)C(N)C(O)C(O)=O)C=Cc1ccccc1	361.4321	"['FAD*', 'FA']"		Norine		
229	C8:1(7)-OH(2.4.5)-NH2(3)-Ph(8)	3-amino-8-phenyl-2.4.5-trihydroxyoct-7-enoic acid	unknown	C14H19NO5			NC(C(O)C(O)=O)C(O)C(O)CC=Cc1ccccc1	281.30438	"['FAD*', 'FA']"		Norine		
230	C4:0-Me(2)	2-methyl-butanoic acid	FAS	C5H10O2	8314	2-methylbutanoic acid	CCC(C)C(=O)O	102.1317	"['FAD*', 'FA']"		Norine		
231	C12:1(11)-Me(6)-OH(2.4.5)-NH2(3)-mPhe(11)	"3-amino-6-methyl-12-(p-methoxyphenyl)-2,4,5-trihydroxydodec-11-enoic acid"	unknown	C20H31NO6			COc1ccc(C=CCCCCC(C)C(O)C(O)C(N)C(O)C(O)=O)cc1	381.46326	"['FAD*', 'FA']"		Norine		
232	C9:1(8)-Me(2)	2-methyl-8-noneic acid	unknown	C10H18O2	17824924	2-methylnon-8-enoic acid	C=CCCCCCC(C)C(=O)O	170.24872	"['FAD*', 'FA']"		Norine		
233	C4:0-OH(2.3)-Cl(4)	"2,3-dihydroxy-4-chloro-butanoic acid"	unknown	C4H7ClO4			O=C(O)C(O)C(O)CCl	154.54898	"['FAD*', 'FA']"		Norine		
234	C4:0-OH(2)-Ep(3)	2-hydroxy-3-epoxy-butanoic acid	unknown	C4H6O4	21433427	2-hydroxy-2-(oxiran-2-yl)acetic acid	O=C(O)C(O)C1CO1	118.08804	"['FAD*', 'FA']"		Norine		
235	C11:0-Me(2)-OH(3)	3-hydroxy-2-methyl-undecanoic acid	unknown	C12H24O3	19591812	3-hydroxy-2-methylundecanoic acid	CCCCCCCCC(O)C(C)C(=O)O	216.31717	"['FAD*', 'FA']"		Norine		
236	C10:2(7.9)-OH(2.4.5)-NH2(3)-ePh(10)	"3-amino-10-(p-ethoxyphenyl)-2,4,5-trihydroxydeca-7,9-dienoic acid"	unknown	C18H25NO6			CCOc1ccc(C=CC=CCC(O)C(O)C(N)C(O)C(O)=O)cc1	351.39423	"['FAD*', 'FA']"		Norine		
237	C10:0-NH2(2)-Ep(9)-oxo(8)	"2-amino-9,10-epoxi-8-oxodecanoic acid"	unknown	C10H17NO4	12917729	2-amino-8-(oxiran-2-yl)-8-oxooctanoic acid	NC(CCCCCC(=O)C1CO1)C(=O)O	215.24628	"['FAD*', 'FA']"		Norine		
238	Gln	Glutamine	NRPS	C5H10N2O3	5961	"(2S)-2,5-diamino-5-oxopentanoic acid"	NC(=O)CCC(N)C(=O)O	146.1445	"['Gln*', 'Glx']"	Q	Norine	1	
239	3Me-4Me-Gln	"3,4-dimethylglutamine"	unknown	C7H14N2O3			CC(C(C)C(N)C(O)=O)C(N)=O	174.19766	"['Gln*', 'Glx']"	Q*	Norine		
240	D-Gln	D-Glutamine	NRPS	C5H10N2O3	145815	"(2R)-2,5-diamino-5-oxopentanoic acid"	NC(=O)CCC(N)C(=O)O	146.1445	"['Gln*', 'Glx']"	Q*	Norine		
241	NFo-Gln	N-formyl-Glutamine	NRPS	C6H10N2O4	3293755	5-amino-2-formamido-5-oxopentanoic acid	NC(=O)CCC(NC=O)C(=O)O	174.1546	"['Gln*', 'Glx']"	Q*	Norine		
242	bOH-Gln	beta-hydroxyglutamine	NRPS	C5H10N2O4	22592766	"2,5-diamino-3-hydroxy-5-oxopentanoic acid"	NC(=O)CC(O)C(N)C(=O)O	162.1439	"['Gln*', 'Glx']"	Q*	Norine		
243	NMe-Gln	N-methylglutamine	NRPS	C6H12N2O	738177	5-amino-2-methylamino-5-oxopentanoic acid	CNC(CCC(N)=O)C(=O)O	128.17227	"['Gln*', 'Glx']"	Q*	Norine		
244	bMe-Gln	beta-methylglutamine	NRPS	C6H12N2O3	44602399	"(2S,3S)-2,5-diamino-3-methyl-5-oxopentanoic acid"	CC(CC(N)=O)C(N)C(=O)O	160.17108	"['Gln*', 'Glx']"	Q*	Norine		
245	D-bMe-Gln	D-beta-methylglutamine	NRPS	C6H12N2O3	20193636	"2,5-diamino-3-methyl-5-oxopentanoic acid"	CC(CC(N)=O)C(N)C(=O)O	160.17108	"['Gln*', 'Glx']"	Q*	Norine		
246	Glu	Glutamic Acid	NRPS	C5H9NO4	7847075	(2S)-2-aminopentanedioic acid	NC(CCC(=O)O)C(=O)O	147.12926	"['Glu*', 'Glx']"	E	Norine	1	
247	D-Glu	D-Glutamic Acid	NRPS	C5H9NO4	165901	(2R)-2-aminopentanedioic acid	NC(CCC(=O)O)C(=O)O	147.12926	"['Glu*', 'Glx']"	E*	Norine		
248	MeO-Glu	Glutamic Acid methyl ester	NRPS	C6H11NO4	10365295	2-amino-5-methoxy-5-oxopentanoic acid	COC(=O)CCC(N)C(=O)O	161.15584	"['Glu*', 'Glx']"	E*	Norine		
249	3Me-Glu	3-Methyl-Glutamic acid	NRPS	C6H11NO4	237657	2-amino-3-methylpentanedioic acid	CC(CC(=O)O)C(N)C(=O)O	161.15584	"['Glu*', 'Glx']"	E*	Norine		
250	2Me-3Me-pGlu	"2,3-dimethylpyroglutamic acid"	unknown	C7H11NO3			CC1C(C)C(NC1(=O))C(=O)O	157.16714	"['Glu*', 'Glx']"	E*	Norine		
251	pGlu	pyroglutamic acid	NRPS	C5H7NO3	7405	(2S)-5-oxopyrrolidine-2-carboxylic acid	O=C(O)C1CCC(=O)N1	129.11398	"['Glu*', 'Glx']"	E*	Norine		
252	D-MeO-Glu	D-Glutamic Acid methyl ester	NRPS	C6H11NO4	10365295	2-amino-5-methoxy-5-oxopentanoic acid	COC(=O)CCC(N)C(=O)O	161.15584	"['Glu*', 'Glx']"	E*	Norine		
253	MeO-D-Glu	D-Glutamic Acid methyl ester	NRPS	C6H11NO4	688481	(2R)-2-amino-5-methoxy-5-oxopentanoic acid	COC(=O)CCC(N)C(=O)O	161.15584	"['Glu*', 'Glx']"	E*	Norine		
254	Hysp	hydroxysecbutyl acetyl propionyl	unknown	C9H16O4			CCC(C)C(O)C(=O)C(C)C(=O)O	188.22095	"['Hap*', 'Hap*']"		Norine		
255	Hip	hydroxyisovalerylpropionyl	unknown	C8H14O4	18942657	"4-hydroxy-2,5-dimethyl-3-oxohexanoic acid"	CC(C)C(O)C(=O)C(C)C(=O)O	174.19437	"['Hap*', 'Hap*']"		Norine		
256	Hap	hydroxyacetyl propionyl	unknown	C5H8O4			CC(C(=O)O)C(=O)CO	132.11462	"['Hap*', 'Hap*']"		Norine		
257	OH-His	Hydroxyhistidine	NRPS	C6H9N3O3	429096	2-amino-3-hydroxy-3-(3H-imidazol-4-yl)propanoic acid	NC(C(=O)O)C(O)c1cnc[nH]1	171.15396	"['His*', 'His*']"	H*	Norine		
258	His	Histidine	NRPS	C6H9N3O2	6274	(2S)-2-amino-3-(3H-imidazol-4-yl)propanoic acid	NC(Cc1cnc[nH]1)C(=O)O	155.15456	"['His*', 'His*']"	H	Norine	1	
259	Hiv	2-hydroxyisovalerate	NRPS	C5H10O3	853180	(2S)-2-hydroxy-3-methylbutanoic acid	CC(C)C(O)C(=O)O	118.131096	"['Hiv*', 'Hiv*']"		Norine		
260	D-Hiv	D-2-hydroxyisovalerate	NRPS	C5H10O3	5289545	(2R)-2-hydroxy-3-methylbutanoic acid	CC(C)C(O)C(=O)O	118.131096	"['Hiv*', 'Hiv*']"		Norine		
261	D-Dhpg	"D-3,5-dihydroxyphenylglycine"	NRPS	C8H9NO4	108001	"D-2-amino-2-(3,5-dihydroxyphenyl)acetic acid"	NC(C(=O)O)c1cc(O)cc(O)c1	183.16136	"['Hpg*', 'Hpg*']"		Norine		
262	D-OH-dHpg	D-N-hydroxy-dehydro-HydroxyPhenylGlycine	NRPS	C8H7NO4			ON=C(C(=O)O)c1ccc(O)cc1	181.14548	"['Hpg*', 'Hpg*']"		Norine		
263	Cl-Hpg	3-chloro-4-hydroxyphenylglycine	NRPS	C8H8ClNO3	11401421	(2S)-2-amino-2-(3-chloro-4-hydroxyphenyl)acetic acid	NC(C(=O)O)c1ccc(O)c(c1)Cl	201.60703	"['Hpg*', 'Hpg*']"		Norine		
